                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4086,                0.76105,                 1.0267,                0.94362,                 0.8997,                0.95332,                0.56279,                 1.4047,                 0.6556,                 1.0636,               0.006634,               0.006634,               0.006634
                     36,                 1.4088,                0.74809,                 1.0256,                0.90609,                0.89435,                0.93697,                0.54016,                 1.3947,                 0.6947,                 1.0577,               0.006535,               0.006535,               0.006535
                     37,                 1.3996,                0.74703,                 1.0269,                0.93705,                 0.9203,                0.95388,                0.56399,                 1.3848,                0.63431,                 1.0547,               0.006436,               0.006436,               0.006436
                     38,                 1.3782,                0.73364,                 1.0146,                0.93398,                0.88601,                0.93834,                0.55254,                 1.3766,                0.67786,                  1.057,               0.006337,               0.006337,               0.006337
                     39,                 1.3875,                 0.7407,                 1.0198,                0.95359,                0.89493,                0.95218,                 0.5575,                  1.373,                0.65316,                 1.0503,               0.006238,               0.006238,               0.006238
                     40,                 1.3686,                0.72309,                 1.0076,                0.94172,                0.90732,                0.95479,                 0.5637,                  1.368,                0.64495,                 1.0512,               0.006139,               0.006139,               0.006139
                     41,                 1.3566,                0.71348,                 1.0083,                0.94378,                0.93352,                0.96441,                0.58248,                 1.3246,                 0.6125,                 1.0373,                0.00604,                0.00604,                0.00604
                     42,                 1.3627,                0.71079,                 1.0062,                0.93216,                0.90416,                0.95467,                0.57331,                 1.3506,                0.62306,                 1.0369,               0.005941,               0.005941,               0.005941
                     43,                 1.3529,                0.70383,                 1.0074,                0.93659,                0.87616,                0.93529,                0.53809,                 1.4334,                0.67722,                 1.0697,               0.005842,               0.005842,               0.005842
                     44,                 1.3479,                0.70496,                 1.0086,                0.93849,                 0.9191,                0.95897,                0.56361,                 1.3844,                0.63629,                  1.053,               0.005743,               0.005743,               0.005743
                     45,                 1.3357,                0.69016,                 1.0023,                0.93785,                 0.8962,                0.94598,                0.55321,                 1.4175,                 0.6289,                 1.0626,               0.005644,               0.005644,               0.005644
                     46,                 1.3363,                0.69342,                 1.0025,                0.94215,                0.94347,                0.96161,                0.58615,                 1.3113,                0.58717,                 1.0362,               0.005545,               0.005545,               0.005545
                     47,                 1.3217,                0.68416,                0.99705,                0.91864,                0.87118,                0.93603,                0.53462,                 1.4638,                0.68508,                 1.0793,               0.005446,               0.005446,               0.005446
                     48,                  1.321,                0.67922,                 1.0001,                0.92837,                0.93698,                0.96239,                0.58904,                 1.3291,                0.59781,                  1.034,               0.005347,               0.005347,               0.005347
                     49,                 1.3251,                0.67898,                 1.0035,                0.92971,                0.91937,                0.95621,                0.56913,                 1.3564,                0.61585,                 1.0464,               0.005248,               0.005248,               0.005248
                     50,                 1.3181,                0.67142,                0.99341,                0.93173,                 0.9234,                0.94991,                0.57768,                 1.3191,                0.61206,                 1.0374,               0.005149,               0.005149,               0.005149
                     51,                 1.3204,                0.67574,                0.99152,                 0.9433,                 0.9342,                0.96375,                0.59634,                 1.2933,                0.57986,                 1.0247,                0.00505,                0.00505,                0.00505
                     52,                 1.2917,                0.65995,                0.99066,                0.94663,                0.92771,                0.96241,                0.58898,                 1.3266,                0.59694,                 1.0353,               0.004951,               0.004951,               0.004951
                     53,                 1.2836,                0.64644,                 0.9932,                0.93887,                0.93605,                  0.966,                0.59975,                 1.2932,                0.58433,                 1.0254,               0.004852,               0.004852,               0.004852
                     54,                 1.2873,                0.65923,                0.98907,                 0.9457,                0.93623,                0.97333,                0.60145,                 1.3104,                0.57126,                 1.0247,               0.004753,               0.004753,               0.004753
                     55,                 1.2854,                0.65982,                0.98929,                0.94914,                0.92308,                0.96428,                0.60876,                 1.2711,                0.56995,                 1.0192,               0.004654,               0.004654,               0.004654
                     56,                 1.2755,                 0.6438,                0.98569,                0.96113,                0.90639,                 0.9534,                0.58335,                 1.3175,                0.61227,                  1.033,               0.004555,               0.004555,               0.004555
                     57,                 1.2694,                0.63849,                0.98205,                   0.95,                0.95089,                0.97703,                0.61144,                 1.2681,                0.54176,                 1.0111,               0.004456,               0.004456,               0.004456
                     58,                 1.2691,                0.64532,                0.97104,                0.95499,                0.92413,                0.96922,                0.58813,                 1.3173,                0.57241,                 1.0305,               0.004357,               0.004357,               0.004357
                     59,                 1.2632,                0.63391,                0.98128,                0.95121,                0.94995,                0.97745,                0.61907,                 1.2426,                 0.5323,                 1.0049,               0.004258,               0.004258,               0.004258
                     60,                 1.2627,                0.63359,                0.98019,                0.94478,                0.95148,                0.97508,                0.61093,                 1.2683,                 0.5471,                 1.0156,               0.004159,               0.004159,               0.004159
                     61,                 1.2497,                0.62073,                0.97675,                0.94693,                  0.962,                0.97547,                0.61779,                 1.2371,                0.53929,                 1.0027,                0.00406,                0.00406,                0.00406
                     62,                 1.2408,                0.62145,                0.97687,                0.94356,                0.95829,                0.97472,                0.61425,                 1.2714,                0.54399,                 1.0157,               0.003961,               0.003961,               0.003961
                     63,                 1.2564,                0.62235,                0.97069,                0.95384,                0.92308,                0.96799,                0.59448,                 1.3115,                0.56841,                 1.0194,               0.003862,               0.003862,               0.003862
                     64,                 1.2308,                0.61117,                0.96974,                0.95623,                0.94347,                0.97821,                0.62196,                 1.2499,                0.53146,                 1.0053,               0.003763,               0.003763,               0.003763
                     65,                 1.2226,                0.60825,                0.96319,                 0.9599,                0.93791,                0.97577,                0.62556,                 1.2465,                0.54106,                 1.0065,               0.003664,               0.003664,               0.003664
                     66,                 1.2229,                0.61073,                0.96386,                0.95506,                0.95088,                0.97697,                0.63084,                 1.2335,                0.53165,                  1.007,               0.003565,               0.003565,               0.003565
                     67,                 1.2211,                0.60449,                0.96632,                0.95357,                0.96015,                0.97625,                0.61701,                 1.2446,                0.52683,                 1.0055,               0.003466,               0.003466,               0.003466
                     68,                 1.2141,                0.59986,                0.97078,                 0.9605,                 0.9481,                0.97513,                0.62158,                 1.2454,                0.51933,                 1.0073,               0.003367,               0.003367,               0.003367
                     69,                 1.2105,                0.60331,                0.95948,                0.95236,                0.94493,                0.97089,                0.60765,                 1.2862,                0.54538,                 1.0124,               0.003268,               0.003268,               0.003268
                     70,                  1.211,                0.60198,                 0.9616,                 0.9557,                0.94717,                 0.9773,                0.63594,                 1.2106,                0.52015,                0.99777,               0.003169,               0.003169,               0.003169
                     71,                 1.1884,                0.58362,                0.95469,                0.96172,                0.95468,                0.98166,                  0.635,                 1.2118,                 0.5086,                0.99461,                0.00307,                0.00307,                0.00307
                     72,                 1.1979,                0.59122,                0.95652,                0.94697,                0.95829,                0.97794,                0.63225,                 1.2077,                0.51335,                  0.998,               0.002971,               0.002971,               0.002971
                     73,                 1.1778,                0.57468,                0.95071,                 0.9447,                0.96573,                 0.9817,                0.62497,                 1.2301,                0.50622,                0.99974,               0.002872,               0.002872,               0.002872
                     74,                 1.1764,                0.57995,                0.95458,                0.95104,                0.96015,                0.97982,                0.63872,                 1.2074,                0.50324,                0.99523,               0.002773,               0.002773,               0.002773
                     75,                 1.1789,                0.57915,                0.94985,                0.95028,                  0.962,                0.97947,                 0.6304,                 1.2261,                 0.5112,                 1.0008,               0.002674,               0.002674,               0.002674
                     76,                 1.1604,                0.57063,                0.94761,                0.96509,                0.95181,                0.98161,                0.63544,                 1.2158,                0.50396,                0.99614,               0.002575,               0.002575,               0.002575
                     77,                 1.1511,                0.56151,                0.95155,                0.95839,                0.96048,                0.98142,                0.62441,                 1.2516,                0.51068,                 1.0072,               0.002476,               0.002476,               0.002476
                     78,                 1.1521,                0.56135,                0.94043,                 0.9514,                  0.962,                0.98094,                0.62801,                 1.2365,                0.50848,                 1.0042,               0.002377,               0.002377,               0.002377
                     79,                 1.1611,                0.56544,                0.95008,                 0.9541,                0.96386,                 0.9802,                0.62813,                  1.237,                0.51011,                 1.0001,               0.002278,               0.002278,               0.002278
                     80,                 1.1442,                0.56403,                0.94361,                0.95094,                0.96571,                 0.9826,                0.64336,                 1.1833,                0.49048,                0.98529,               0.002179,               0.002179,               0.002179
                     81,                 1.1432,                0.55264,                0.94369,                0.95081,                0.96727,                0.98064,                 0.6351,                 1.2005,                0.50174,                0.99113,                0.00208,                0.00208,                0.00208
                     82,                 1.1361,                0.55133,                0.94726,                 0.9574,                0.95802,                0.98154,                0.64244,                 1.1906,                0.49661,                0.98637,               0.001981,               0.001981,               0.001981
                     83,                 1.1226,                0.53918,                0.93871,                0.96216,                0.96607,                0.98248,                0.64766,                 1.1724,                  0.485,                0.98069,               0.001882,               0.001882,               0.001882
                     84,                 1.1278,                0.54689,                0.93894,                0.95339,                0.96676,                0.98149,                0.64095,                 1.1933,                0.50239,                0.98747,               0.001783,               0.001783,               0.001783
                     85,                  1.113,                0.54074,                0.93614,                0.94464,                0.96942,                0.98422,                0.65523,                 1.1618,                0.48489,                0.97946,               0.001684,               0.001684,               0.001684
                     86,                 1.1202,                0.54099,                0.93524,                0.95888,                0.96478,                0.98331,                0.65258,                 1.1583,                0.48728,                0.97795,               0.001585,               0.001585,               0.001585
                     87,                 1.1019,                0.53449,                0.93377,                0.95327,                0.96423,                0.98111,                0.65075,                 1.1745,                0.49201,                0.98112,               0.001486,               0.001486,               0.001486
                     88,                 1.1062,                0.53721,                0.93087,                0.95335,                0.96587,                0.98329,                0.65512,                 1.1557,                0.48253,                0.97687,               0.001387,               0.001387,               0.001387
                     89,                 1.1004,                 0.5316,                0.93378,                0.96478,                0.95737,                0.98206,                0.65389,                 1.1673,                0.48481,                0.98073,               0.001288,               0.001288,               0.001288
                     90,                 1.0833,                0.49473,                0.95301,                0.95752,                0.96571,                 0.9829,                0.65404,                 1.1647,                0.48153,                 0.9813,               0.001189,               0.001189,               0.001189
                     91,                 1.0573,                   0.48,                 0.9513,                0.96258,                0.95354,                0.98021,                0.64366,                 1.1978,                0.49791,                0.98534,                0.00109,                0.00109,                0.00109
                     92,                 1.0509,                 0.4757,                0.94848,                0.96088,                0.95616,                0.97923,                0.64382,                 1.1979,                0.49169,                0.98666,               0.000991,               0.000991,               0.000991
                     93,                 1.0413,                0.47244,                0.93906,                0.96432,                0.96571,                0.98365,                0.66171,                 1.1666,                0.48182,                0.97894,               0.000892,               0.000892,               0.000892
                     94,                  1.027,                0.46323,                0.93888,                0.96122,                0.96481,                0.98328,                 0.6608,                  1.164,                 0.4839,                0.97764,               0.000793,               0.000793,               0.000793
                     95,                 1.0218,                 0.4606,                0.93312,                0.95949,                0.96573,                 0.9842,                0.66422,                 1.1559,                0.47652,                0.97255,               0.000694,               0.000694,               0.000694
                     96,                 1.0206,                0.45837,                0.93604,                0.96552,                0.96013,                0.98278,                0.66537,                 1.1525,                0.47577,                 0.9725,               0.000595,               0.000595,               0.000595
                     97,                 1.0174,                0.45744,                 0.9333,                 0.9542,                 0.9722,                 0.9833,                0.66622,                 1.1502,                0.47489,                0.97172,               0.000496,               0.000496,               0.000496
                     98,                 1.0041,                0.45411,                0.92873,                0.95141,                 0.9722,                0.98103,                0.65835,                 1.1631,                0.47636,                0.97418,               0.000397,               0.000397,               0.000397
                     99,                 1.0002,                0.44971,                0.93097,                0.95851,                0.97312,                0.98239,                0.66632,                 1.1506,                0.47232,                0.97166,               0.000298,               0.000298,               0.000298
