                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.97501,                0.62498,                 1.0386,                0.94217,                0.93016,                 0.9599,                0.60251,                 1.2602,                0.58929,                 1.0012,             0.00059775,             0.00059775,             0.00059775
                     35,                0.96669,                0.62565,                 1.0369,                0.93967,                0.92301,                0.95551,                0.60028,                 1.2635,                0.60259,                 1.0018,             0.00057731,             0.00057731,             0.00057731
                     36,                 0.9574,                0.61484,                 1.0336,                0.93891,                0.92474,                0.95551,                0.60653,                 1.2568,                0.60371,                 1.0006,             0.00055674,             0.00055674,             0.00055674
                     37,                0.95442,                0.60843,                 1.0285,                0.93552,                 0.9308,                0.95907,                0.60838,                 1.2388,                0.59381,                0.99613,             0.00053608,             0.00053608,             0.00053608
                     38,                0.94776,                0.60064,                 1.0266,                0.94137,                0.93064,                 0.9589,                0.61275,                 1.2278,                0.58046,                0.99329,             0.00051537,             0.00051537,             0.00051537
                     39,                0.93786,                0.59821,                  1.025,                0.93998,                0.93599,                0.95834,                0.61592,                  1.225,                0.58484,                 0.9905,             0.00049463,             0.00049463,             0.00049463
                     40,                0.93893,                0.59093,                 1.0207,                 0.9346,                0.94118,                0.95867,                0.61383,                 1.2367,                0.58869,                0.99256,             0.00047392,             0.00047392,             0.00047392
                     41,                0.93272,                0.58835,                 1.0207,                0.93506,                0.93858,                0.96264,                 0.6138,                 1.2512,                0.59321,                0.99555,             0.00045326,             0.00045326,             0.00045326
                     42,                0.92797,                0.58113,                 1.0162,                0.93986,                0.93772,                0.96294,                0.61458,                 1.2397,                0.59359,                0.99182,             0.00043269,             0.00043269,             0.00043269
                     43,                  0.929,                0.58036,                 1.0172,                0.93594,                 0.9353,                 0.9638,                0.62342,                 1.2274,                0.58317,                0.98868,             0.00041225,             0.00041225,             0.00041225
